品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot,nouki_copy
25225621870,PVｼﾖ-ﾄEG(H),1205,ＳＶ,15.0,8000,,,,,,,6000,2022-06-30,K-202205-1487,,,,,2022-06-30
25801321870,MB-Pｼﾖ-ﾄCF8.1K(H),1205,ＳＶ,8.1,4000,,,,〇,,,12700,2022-06-28,K-202205-1550,副原料添加なし初回限定,2022-06-27 00:00:00,1,2022-06-27 07:20:00-->2022-06-27 10:31:00,2022-06-28
25800421830,MB-ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-30,K-202205-1547,副原料添加なし初回限定,2022-06-27 00:00:00,2,2022-06-27 12:30:00-->2022-06-27 14:26:00,2022-06-30
25225621850,PVｼﾖ-ﾄEG(M),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-27,K-202205-1486,,2022-06-27 00:00:00,3,2022-06-27 14:46:00-->2022-06-27 16:22:00,2022-06-27
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-27,K-202205-1502,,2022-06-27 00:00:00,4,2022-06-27 16:42:00-->2022-06-27 18:18:00,2022-06-27
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-27,K-202205-1509,,2022-06-27 00:00:00,5,2022-06-27 18:38:00-->2022-06-27 20:14:00,2022-06-27
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-27,K-202205-1513,,2022-06-27 00:00:00,6,2022-06-27 20:34:00-->2022-06-27 22:10:00,2022-06-27
25212521030,ｼﾖｰﾄﾆﾝｸﾞFJP DIR(3),1205,ＳＶ,15.0,8000,,,,,,,8000,2022-06-30,K-202205-1474,,,,,2022-06-30
25351521000,MCｼｮｰﾄ(12),1205,ＳＶ,15.0,8000,,,,〇,,,12000,2022-06-30,K-202205-1530,副原料添加多く初回限定,2022-06-28 00:00:00,1,2022-06-28 07:20:00-->2022-06-28 08:50:00,2022-06-30
25351521000,MCｼｮｰﾄ(12),1205,ＳＶ,15.0,8000,,,,〇,,,12000,2022-06-30,K-202205-1531,副原料添加多く初回限定,2022-06-28 00:00:00,2,2022-06-28 09:10:00-->2022-06-28 10:40:00,2022-06-30
